receipt_no,title,category,department,assignee,status,priority,channel,region,satisfaction,received_at,due_at,completed_at
2026-100964,불법 주정차 신고,도로/교통,도로관리과,조주무관,처리중,보통,전화,평택시,,2025-07-04 13:40:38,2025-07-11 13:40:38,
2026-100523,복지급여 문의,복지,사회복지과,박주무관,처리중,낮음,이메일,여주시,,2025-07-05 11:58:04,2025-07-11 11:58:04,
2026-103275,악취 발생 신고,환경,환경관리과,강주무관,처리중,높음,방문,가평군,,2025-07-05 15:29:47,2025-07-14 15:29:47,
2026-100419,증명서 발급 문의,행정,민원행정과,정주무관,완료,보통,전화,과천시,1,2025-07-05 17:31:30,2025-07-08 17:31:30,2025-07-06 17:31:30
2026-101568,쓰레기 무단투기,환경,환경관리과,김주무관,완료,높음,이메일,수원시,,2025-07-05 17:34:26,2025-07-14 17:34:26,2025-07-15 17:34:26
2026-103124,신호등 고장 신고,도로/교통,도로관리과,강주무관,완료,낮음,이메일,오산시,3,2025-07-06 06:19:53,2025-07-13 06:19:53,2025-07-19 06:19:53
2026-100118,도로 파손 신고,도로/교통,도로관리과,조주무관,완료,보통,이메일,수원시,5,2025-07-06 17:18:05,2025-07-13 17:18:05,2025-07-17 17:18:05
2026-102489,장애인 편의 요청,복지,사회복지과,조주무관,완료,높음,전화,남양주시,3,2025-07-07 08:51:11,2025-07-13 08:51:11,2025-07-15 08:51:11
2026-101421,재난위험시설 신고,안전,안전총괄과,최주무관,반려,보통,이메일,김포시,,2025-07-07 10:17:08,2025-07-15 10:17:08,
2026-100315,불법건축물 신고,건축/주택,건축과,이주무관,완료,보통,이메일,수원시,5,2025-07-07 11:47:57,2025-07-19 11:47:57,2025-07-28 11:47:57
2026-103722,도로 파손 신고,도로/교통,도로관리과,강주무관,처리중,보통,온라인,연천군,,2025-07-07 13:32:53,2025-07-14 13:32:53,
2026-100314,민원처리 지연 항의,행정,민원행정과,강주무관,처리중,낮음,온라인,광명시,,2025-07-07 14:11:32,2025-07-10 14:11:32,
2026-101645,도로 파손 신고,도로/교통,도로관리과,박주무관,완료,낮음,온라인,시흥시,,2025-07-07 15:47:26,2025-07-14 15:47:26,2025-07-19 15:47:26
2026-103065,소음 공해 민원,환경,환경관리과,정주무관,완료,높음,온라인,수원시,5,2025-07-07 16:22:02,2025-07-16 16:22:02,2025-07-19 16:22:02
2026-101406,행정서류 재발급,행정,민원행정과,조주무관,완료,보통,온라인,연천군,,2025-07-07 21:05:23,2025-07-10 21:05:23,2025-07-13 21:05:23
2026-102575,악취 발생 신고,환경,환경관리과,윤주무관,완료,보통,이메일,수원시,3,2025-07-08 05:08:34,2025-07-17 05:08:34,2025-07-18 05:08:34
2026-100611,화재위험 신고,안전,안전총괄과,이주무관,처리중,보통,방문,고양시,,2025-07-08 11:41:07,2025-07-16 11:41:07,
2026-101046,장애인 편의 요청,복지,사회복지과,최주무관,완료,낮음,이메일,안산시,5,2025-07-08 12:20:06,2025-07-14 12:20:06,2025-07-18 12:20:06
2026-101202,재난위험시설 신고,안전,안전총괄과,김주무관,완료,높음,방문,포천시,,2025-07-08 12:20:58,2025-07-16 12:20:58,2025-07-21 12:20:58
2026-102154,노인돌봄 신청,복지,사회복지과,강주무관,처리중,보통,전화,연천군,,2025-07-08 12:47:51,2025-07-14 12:47:51,
2026-100055,불법건축물 신고,건축/주택,건축과,윤주무관,완료,보통,온라인,수원시,5,2025-07-08 13:17:02,2025-07-20 13:17:02,2025-08-01 13:17:02
2026-102287,악취 발생 신고,환경,환경관리과,김주무관,완료,보통,전화,연천군,5,2025-07-08 13:22:05,2025-07-17 13:22:05,2025-07-18 13:22:05
2026-100258,도서관 운영 건의,문화/체육,문화체육과,이주무관,완료,낮음,온라인,화성시,3,2025-07-08 14:46:56,2025-07-13 14:46:56,2025-07-12 14:46:56
2026-102012,소음 공해 민원,환경,환경관리과,김주무관,처리중,보통,온라인,안양시,,2025-07-08 16:09:26,2025-07-17 16:09:26,
2026-100112,쓰레기 무단투기,환경,환경관리과,강주무관,처리중,높음,온라인,안성시,,2025-07-08 19:19:35,2025-07-17 19:19:35,
2026-102506,문화행사 문의,문화/체육,문화체육과,조주무관,완료,보통,방문,평택시,3,2025-07-09 04:56:56,2025-07-14 04:56:56,2025-07-15 04:56:56
2026-100068,행정서류 재발급,행정,민원행정과,최주무관,완료,낮음,온라인,여주시,4,2025-07-09 10:53:30,2025-07-12 10:53:30,2025-07-15 10:53:30
2026-102271,민원처리 지연 항의,행정,민원행정과,최주무관,완료,보통,전화,수원시,3,2025-07-09 11:16:42,2025-07-12 11:16:42,2025-07-15 11:16:42
2026-100705,소음 공해 민원,환경,환경관리과,윤주무관,반려,보통,이메일,성남시,,2025-07-09 13:40:53,2025-07-18 13:40:53,
2026-101198,주택 누수 하자,건축/주택,건축과,강주무관,완료,보통,온라인,고양시,5,2025-07-09 16:26:51,2025-07-21 16:26:51,2025-08-01 16:26:51
2026-100439,쓰레기 무단투기,환경,환경관리과,윤주무관,완료,낮음,방문,구리시,5,2025-07-09 17:45:02,2025-07-18 17:45:02,2025-07-14 17:45:02
2026-102220,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,높음,이메일,고양시,5,2025-07-09 20:28:43,2025-07-16 20:28:43,2025-07-10 20:28:43
2026-101366,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,높음,이메일,광명시,2,2025-07-10 07:05:12,2025-07-17 07:05:12,2025-07-18 07:05:12
2026-101664,악취 발생 신고,환경,환경관리과,박주무관,완료,보통,온라인,용인시,2,2025-07-10 10:25:27,2025-07-19 10:25:27,2025-07-18 10:25:27
2026-100295,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,화성시,,2025-07-10 11:10:02,2025-07-17 11:10:02,2025-07-18 11:10:02
2026-100497,주택 누수 하자,건축/주택,건축과,이주무관,완료,보통,방문,부천시,4,2025-07-10 11:50:55,2025-07-22 11:50:55,2025-07-19 11:50:55
2026-100153,도서관 운영 건의,문화/체육,문화체육과,정주무관,완료,보통,온라인,성남시,,2025-07-10 12:30:22,2025-07-15 12:30:22,2025-07-16 12:30:22
2026-103361,불법 주정차 신고,도로/교통,도로관리과,김주무관,처리중,보통,온라인,성남시,,2025-07-10 12:46:26,2025-07-17 12:46:26,
2026-102249,행정서류 재발급,행정,민원행정과,이주무관,완료,보통,방문,부천시,3,2025-07-10 14:00:05,2025-07-13 14:00:05,2025-07-15 14:00:05
2026-101429,쓰레기 무단투기,환경,환경관리과,정주무관,완료,낮음,방문,오산시,3,2025-07-10 16:14:18,2025-07-19 16:14:18,2025-07-11 16:14:18
2026-103096,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,이메일,양평군,,2025-07-10 16:47:27,2025-07-13 16:47:27,2025-07-16 16:47:27
2026-103042,행정서류 재발급,행정,민원행정과,정주무관,완료,보통,온라인,안산시,,2025-07-10 17:05:05,2025-07-13 17:05:05,2025-07-12 17:05:05
2026-102835,노후축대 점검요청,안전,안전총괄과,정주무관,접수,보통,전화,수원시,,2025-07-10 19:37:12,2025-07-18 19:37:12,
2026-102096,노후축대 점검요청,안전,안전총괄과,김주무관,접수,낮음,온라인,수원시,,2025-07-10 22:45:12,2025-07-18 22:45:12,
2026-102684,불법 주정차 신고,도로/교통,도로관리과,강주무관,처리중,보통,온라인,양평군,,2025-07-11 07:03:43,2025-07-18 07:03:43,
2026-103521,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,높음,전화,광명시,4,2025-07-11 07:59:14,2025-07-18 07:59:14,2025-07-23 07:59:14
2026-101996,행정서류 재발급,행정,민원행정과,조주무관,처리중,높음,온라인,남양주시,,2025-07-11 08:05:06,2025-07-14 08:05:06,
2026-100500,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,낮음,전화,성남시,3,2025-07-11 09:47:48,2025-07-18 09:47:48,2025-07-15 09:47:48
2026-100742,도로 파손 신고,도로/교통,도로관리과,조주무관,접수,보통,전화,광주시,,2025-07-11 10:27:30,2025-07-18 10:27:30,
2026-102999,쓰레기 무단투기,환경,환경관리과,박주무관,완료,보통,이메일,연천군,5,2025-07-11 11:28:22,2025-07-20 11:28:22,2025-07-25 11:28:22
2026-103751,복지급여 문의,복지,사회복지과,윤주무관,처리중,높음,온라인,안양시,,2025-07-11 11:34:21,2025-07-17 11:34:21,
2026-103433,복지급여 문의,복지,사회복지과,최주무관,처리중,보통,방문,수원시,,2025-07-11 12:18:00,2025-07-17 12:18:00,
2026-101059,신호등 고장 신고,도로/교통,도로관리과,최주무관,처리중,낮음,전화,성남시,,2025-07-11 12:25:48,2025-07-18 12:25:48,
2026-100655,노인돌봄 신청,복지,사회복지과,박주무관,처리중,보통,온라인,파주시,,2025-07-11 12:35:01,2025-07-17 12:35:01,
